company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Trinity Employment Specialists,Digital Marketing Specialist,India,330000.0,"Social media marketing, Social media management, Digital marketing, SEO, Relationship management",,Digital Marketing Specialist
Sarvajith Infotech,Digital Marketing Specialist,India,270000.0,"WordPress, SEO, SEM",,Digital Marketing Specialist
Vayavya Labs,Digital Marketing Specialist,Belgaum,450000.0,"Social media management, Keyword research, Adobe Creative Suite, Graphic design, Digital marketing",4.1,Digital Marketing Specialist
Devpaga Hotels Pvt Ltd,Digital Marketing Specialist,India,330000.0,"Social media marketing, Social media management, Digital marketing, SEO tools, Database marketing",,Digital Marketing Specialist
Anviam Solutions,Digital Marketing Specialist,Mohali,2400000.0,,4.0,Digital Marketing Specialist
HoliThemes,Digital Marketing Specialist,Vijayawāda,180000.0,"Social media management, Analysis skills, Content creation, Digital marketing, Team management",,Digital Marketing Specialist
BRANDSHIP DIGITAL PRIVATE LIMITED,Digital Marketing Specialist,India,240000.0,"Social media marketing, Digital marketing, Google Analytics, Communication skills",,Digital Marketing Specialist
SellPro Commerce,Marketing and Food Development Specialist,Mumbai,450000.0,"Social media marketing, Social media management, Market research, Product development, SEO",3.9,Digital Marketing Specialist
Lagran Software Solutions Pvt Ltd,Digital Marketing Specialist,Hyderābād,252000.0,"Telugu, English, Digital marketing, Product demos, Hindi",,Digital Marketing Specialist
Leasing.net.in,Digital Marketing Specialist,Gurgaon,516000.0,"CRM software, Email marketing, Website Management, Facebook Advertising, Social media management",,Digital Marketing Specialist
KDK Software India Pvt. Ltd.,Digital Marketing Specialist,India,800000.0,"Keyword research, Digital marketing, SEO, Content marketing, Marketing automation",4.0,Digital Marketing Specialist
Big Brancy - Digital Marketing Agency,Digital Marketing Specialist,India,222000.0,"Email marketing, Social media marketing, Facebook Advertising, Keyword research, Analysis skills",,Digital Marketing Specialist
Global Healthcare Academy Private Limited,Digital Marketing Specialist,India,420000.0,"Learning technology, Analysis skills, Content creation, Digital marketing, Google Ads",,Digital Marketing Specialist
Global visa online,Digital Marketing Specialist,Cochin,240000.0,"Social media marketing, Facebook Advertising, Digital marketing, Google Ads",,Digital Marketing Specialist
Codeline tech,Digital Marketing Specialist,Hyderābād,318000.0,"Email marketing, Adobe Photoshop, Facebook Advertising, Digital marketing, SEO",,Digital Marketing Specialist
ADML Technoservices Pvt. Ltd,Digital Marketing Specialist,Bengaluru,270000.0,"Social media marketing, Social media management, Keyword research, Analysis skills, Digital marketing",,Digital Marketing Specialist
AYLFS,Digital Marketing Specialist,Gurgaon,660000.0,"Google AdWords, Facebook Advertising, Digital marketing, SEO, Organizational skills",,Digital Marketing Specialist
Australian Premium Solar (INDIA) Ltd.,Digital Marketing Specialist,India,360000.0,"Digital marketing, Marketing automation, A/B testing, Google Ads",,Digital Marketing Specialist
"MANCOM CONSULTECH Pvt Ltd.,",Digital Marketing Specialist,Indore,330000.0,"Microsoft Powerpoint, Microsoft Excel, Social media marketing, Social media management, Data analysis skills",,Digital Marketing Specialist
BILLS AND WALLS INDIA PVT LTD,Digital Marketing Specialist,India,270000.0,"Social media marketing, Social media management, Analysis skills, Digital marketing, SEO",,Digital Marketing Specialist
