company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Dicetek LLC,UIUX Testers,Remote,0.0,"Web accessibility, CSS, Analysis skills, Quality assurance, Continuous improvement",4.3,UX Designer
BitBase LLC,UI/UX Designer,India,420000.0,"Adobe Photoshop, Adobe Illustrator, UX, UI, Communication skills",,UX Designer
GeoIQ,UI/UX Designer,Bengaluru,500000.0,"Adobe Photoshop, Adobe Illustrator, Adobe Creative Suite, Visual design, Machine learning",5.0,UX Designer
Detrator,UI/UX Designer,Remote,6000.0,"Illustration, Graphic design, UX, User research",,UX Designer
Wanderlust Pet Services Pvt. Ltd .,UI/UX Designer,Jaipur,330000.0,"Adobe Creative Suite, UX, Sketch, UI, User research",,UX Designer
ORAHI - Phonon Solutions Private Limited,UI/UX Intern,Gurgaon,300000.0,"Photography, CSS, Social media marketing, Responsive web design, Adobe Creative Suite",,UX Designer
Amazatic Solutions,UI/UX Designer,Pune,650000.0,"Jira, Adobe Photoshop, Project planning, Adobe Illustrator, Responsive web design",4.5,UX Designer
Revolo InfoTech,UI/UX Designer,Remote,3960000.0,"Adobe Photoshop, Adobe Illustrator, UX, UI, Figma",5.0,UX Designer
Uptut,UI/UX Designer (Freelance),Remote,60000.0,"Web design, English, Responsive web design, JavaScript, Wireframing",,UX Designer
Gritstone Technologies,UI/UX Designer,Calicut,700000.0,,4.6,UX Designer
Aura Bizcom,UX/UI Designer,Remote,0.0,"CSS, JavaScript, Adobe XD, UX, Sketch",,UX Designer
Haystek Technologies,UI/UX Designer,Hyderābād,500000.0,"UX, Software development, Agile, Sketch, UI",1.0,UX Designer
Infiheal healthcare Private Limited,UI/UX Design Intern,Remote,108000.0,"CSS, Visual design, JavaScript, Adobe XD, UX",,UX Designer
Webomindapps,UI UX Designer,India,0.0,"CSS, Responsive web design, Adobe Creative Suite, JavaScript, UX",3.6,UX Designer
Target,Lead Product Designer - Enterprise UX,Karnataka,0.0,"Enterprise Software, Research, Data visualization, Interaction design, Figma",4.3,UX Designer
LexiConn,UX Writer,Remote,800000.0,"UX, Proofreading",3.3,UX Designer
8848 Digital llp,UX Designer,India,600000.0,"Axure, ERP systems, Responsive web design, Wireframing, Adobe XD",,UX Designer
Dreams International,UI/UX Designer,India,300000.0,"Usability, UX, UI, User research, Business requirements",,UX Designer
GBIM,UI / UX Product Designer,Navi Mumbai,550000.0,"Adobe Creative Suite, Usability, Agile, Sketch, UI",3.6,UX Designer
Appening Infotech,UI/UX Designer,Remote,0.0,"Adobe Photoshop, Typography, Adobe Illustrator, Usability, UX",3.8,UX Designer
Mozilor,UX Designer Trainee,Calicut,0.0,"Research, UX, User research, Interaction design, Figma",4.8,UX Designer
Pochies Home Services,UI/UX Designer,Remote,216000.0,"Adobe Photoshop, Adobe Illustrator, UX, UI, Communication skills",,UX Designer
Target,Sr Product Designer - Enterprise UX,Karnataka,0.0,"Lean, Research, Project management lifecycle, Project management, Product development",4.3,UX Designer
PayU,UX Designer,Bengaluru,750000.0,"Research, UX, Communication skills, Information architecture",3.7,UX Designer
Backbase,UX Designer,Hyderābād,650000.0,"Branding, Management, CSS, iOS, English",3.6,UX Designer
Lagran Software Solutions Pvt Ltd,UX/UI Designer,India,210000.0,"Responsive web design, Adobe XD, UX, Sketch, UI",,UX Designer
BlazingCoders,UI/UX Designer,Coimbatore,600000.0,"Typography, CSS, Responsive web design, Colour theory, Adobe XD",4.5,UX Designer
Esko,User Experience Designer I,Bengaluru,550000.0,Figma,3.3,UX Designer
Sntrix,UX/UI Designer (urgent hiring),Mohali,612000.0,"Adobe Photoshop, Adobe Illustrator, Wireframing, UX, UI",,UX Designer
Tealfeed,UI/UX Designer,Gurgaon,750000.0,"Analysis skills, Adobe XD, UX, Agile, UI",4.4,UX Designer
Avantao Technologies pvt ltd,UI/UX Designer,Hyderābād,1200000.0,"CSS, Responsive web design, Adobe XD, UX, Sketch",,UX Designer
www.zunov.com,UI/UX Designer,Remote,210000.0,"Adobe Photoshop, Adobe Illustrator, UX, UI, Communication skills",,UX Designer
Trawex,Junior UI/UX Designer,Bengaluru,450000.0,"Web design, Adobe Photoshop, CSS, Mobile applications, Adobe Illustrator",4.7,UX Designer
Infoblox,UX Designer II,Bengaluru,550000.0,"Web accessibility, Web design, Branding, Typography, Adobe Creative Suite",4.5,UX Designer
SoftTech Engineers,Associate - UI/ UX Designer,Pune,650000.0,"Research, Graphic design, Agile, Communication skills, Motion graphics",3.6,UX Designer
RM Education Limited,UI Developer/Designer,Thiruvananthapuram,350000.0,"CSS, JavaScript, SCSS, UI, HTML",3.4,UX Designer
Metaminds Studio,UI/UX Designer,India,420000.0,"Adobe XD, UX, UI, Figma",,UX Designer
Unstop,UI/UX Designer,Delhi,800000.0,"Adobe Photoshop, Adobe Illustrator, Adobe XD, UI, CorelDraw",3.2,UX Designer
Aptiv plc,C++/POSIX/Linux/TDA4-Developer,Bengaluru,900000.0,"ADAS, Analysis skills, C++, C, Machine learning",3.5,UX Designer
JPMorganChase,Infrastructure Engineer III- Python/Linux,Hyderābād,1800000.0,"Jira, Cloud infrastructure, Ansible, DevOps, Selenium",4.0,UX Designer
Ingrain Systems Inc.,Lead Linux/Unix Engineer,Hyderābād,950000.0,"Performance tuning, TCP, System administration, Azure, OpenStack",4.6,UX Designer
International Flavors & Fragrances,Linux Engineer,India,0.0,"Azure, Kubernetes, Ansible, Kanban, Relational databases",3.8,UX Designer
